,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1633240023032,1633241240525,1633242125201,1633246260946,1633247521687,1633248733452,1633252725709,1633253520843,1633254261912
2,1633240024350,1633241242570,1633242126501,1633246262177,1633247523309,1633248735300,1633252726921,1633253523045,1633254263469
3,1633240042274,1633241253597,1633242142010,1633246275200,1633247540878,1633248749337,1633252744610,1633253537593,1633254276867
4,1633240043020,1633241254551,1633242143036,1633246275898,1633247541978,1633248750103,1633252745439,1633253538428,1633254277581
5,1633240062927,1633241273764,1633242162721,1633246308302,1633247564244,1633248773189,1633252768687,1633253561152,1633254303571
6,1633240070776,1633241280669,1633242170583,1633246317571,1633247572047,1633248781224,1633252777415,1633253569174,1633254311631
7,1633521393266,1633522654598,1633523164604,1633528523113,1633529404044,1633529981223,1633533301068,1633533895887,1633534439640
8,1633521395129,1633522656902,1633523166636,1633528525441,1633529405761,1633529983525,1633533303113,1633533898128,1633534441844
9,1633521414344,1633522667721,1633523180419,1633528538081,1633529422389,1633529995168,1633533314325,1633533915239,1633534455579
10,1633521415119,1633522668605,1633523181224,1633528541989,1633529423214,1633529996115,1633533315182,1633533916365,1633534456517
11,1633521435392,1633522682402,1633523197659,1633528561455,1633529441925,1633530014744,1633533337881,1633533937256,1633534475918
12,1633521447676,1633522688426,1633523207787,1633528572272,1633529451421,1633530025080,1633533347143,1633533948107,1633534485089
13,1633697408759,1633698399823,1633699172499,1633704806939,1633705725489,1633706860062,1633710398674,1633711535180,1633712936201
14,1633697410406,1633698400486,1633699173948,1633704808772,1633705727302,1633706861257,1633710400216,1633711536201,1633712939594
15,1633697430838,1633698432980,1633699187214,1633704830227,1633705757714,1633706896389,1633710429100,1633711568072,1633712963802
16,1633697431733,1633698436091,1633699191421,1633704831035,1633705759015,1633706897228,1633710430668,1633711570146,1633712964885
17,1633697467662,1633698455524,1633699207348,1633704854820,1633705787879,1633706923728,1633710471072,1633711599665,1633712998520
18,1633697492195,1633698463739,1633699215842,1633704865105,1633705800014,1633706944088,1633710480109,1633711607618,1633713008082
19,1633670857458,1633671598877,1633672138798,1633676034687,1633677507322,1633678040093,1633681416787,1633682480111,1633682984127
20,1633670858972,1633671600757,1633672140180,1633676035668,1633677508011,1633678041022,1633681418040,1633682480731,1633682985548
21,1633670873265,1633671629364,1633672150660,1633676052298,1633677523142,1633678052699,1633681431124,1633682491472,1633682998658
22,1633670877413,1633671630394,1633672151517,1633676053494,1633677524032,1633678053964,1633681431876,1633682492450,1633682999511
23,1633670898856,1633671645505,1633672167825,1633676071155,1633677545953,1633678080242,1633681454017,1633682511732,1633683013616
24,1633670907828,1633671652017,1633672175991,1633676085676,1633677553076,1633678089323,1633681460840,1633682518550,1633683019912
25,1635653985503,1635654470574,1635655131337,1635663219866,1635663904118,1635664434380,1635668280073,1635668911145,1635671227722
26,1635653987111,1635654471622,1635655132689,1635663221604,1635663905317,1635664435870,1635668281880,1635668912899,1635671228360
27,1635654002373,1635654481492,1635655138991,1635663234562,1635663916631,1635664445537,1635668297518,1635668927467,1635671240377
28,1635654003072,1635654482805,1635655140207,1635663235243,1635663918156,1635664446230,1635668298143,1635668928235,1635671241046
29,1635654016556,1635654495772,1635655152286,1635663249649,1635663935725,1635664458893,1635668313411,1635668939670,1635671253066
30,1635654023358,1635654501932,1635655159182,1635663259172,1635663945563,1635664465227,1635668328358,1635668946613,1635671259483
31,1635942584988,1635943124802,1635943582223,1635946704450,1635947218735,1635947722949,1635952185131,1635953195347,1635953835701
32,1635942585594,1635943126315,1635943583668,1635946700187,1635947220229,1635947724528,1635952186639,1635953196584,1635953837353
33,1635942598558,1635943139362,1635943591850,1635946713547,1635947230055,1635947734023,1635952199736,1635953206988,1635953850315
34,1635942599611,1635943140261,1635943594902,1635946714890,1635947232953,1635947738864,1635952200446,1635953209003,1635953852418
35,1635942619552,1635943171194,1635943615184,1635946739369,1635947254642,1635947765548,1635952229140,1635953231261,1635953876060
36,1635942627627,1635943178545,1635943624240,1635946746121,1635947261234,1635947772552,1635952236539,1635953238765,1635953883590
