,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1629608949027,1629609410617,1629609795811,1629616278796,1629616966194,1629617453523,1629622415595,1629623160567,1629623633513
2,1629608945377,1629609406629,1629609797411,1629616279840,1629616967388,1629617454813,1629622417495,1629623161229,1629623634839
3,1629608948553,1629609409875,1629609799525,1629616282268,1629616971923,1629617457419,1629622420398,1629623163402,1629623637708
4,1629608949205,1629609410897,1629609800466,1629616282847,1629616972694,1629617458084,1629622421777,1629623164110,1629623638339
5,1629608957975,1629609420521,1629609805473,1629616287185,1629616975493,1629617462827,1629622426750,1629623170444,1629623643571
6,1629608977444,1629609437558,1629609835047,1629616304500,1629617005355,1629617484761,1629622446133,1629623202891,1629623661254
7,1629608982322,1629609443588,1629609841116,1629616309191,1629617014392,1629617491452,1629622450236,1629623207404,1629623666236
8,1629608989799,1629609450984,1629609843956,1629616311543,1629617026037,1629617494870,1629622452786,1629623209925,1629623668471
9,1629608987147,1629609447635,1629609846716,1629616313321,1629617029552,1629617497099,1629622454496,1629623212747,1629623670978
10,1629522386222,1629523221759,1629524482652,1629529122310,1629529454008,1629529991617,1629533396832,1629534259678,1629534776820
11,1629522387192,1629523223110,1629524483806,1629529123869,1629529455183,1629529992183,1629533397972,1629534260482,1629534777729
12,1629522391776,1629523226811,1629524488029,1629529126376,1629529459134,1629529996567,1629533402110,1629534263218,1629534782777
13,1629522392959,1629523228236,1629524488903,1629529127509,1629529460174,1629529997525,1629533403103,1629534264900,1629534783845
14,1629522397870,1629523232442,1629524493482,1629529131559,1629529465220,1629530002292,1629533408169,1629534268893,1629534787522
15,1629522412272,1629523244159,1629524511672,1629529151152,1629529479040,1629530017536,1629533429733,1629534290899,1629534806241
16,1629522419218,1629523249737,1629524517188,1629529156210,1629529486978,1629530023928,1629533437478,1629534297255,1629534811278
17,없음,없음,없음,없음,없음,없음,없음,없음,없음
18,1629522424373,1629523253495,1629524521415,1629529160605,1629529490420,1629530027641,1629533440845,1629534301166,1629534814038
19,1629610188541,1629610612891,1629611014640,1629617868639,1629618305561,1629618712827,1629623220306,1629624009659,1629624395986
20,1629610190189,1629610614580,1629611016267,1629617870693,1629618307313,1629618714385,1629623221935,1629624011137,1629624397534
21,1629610195077,1629610616511,1629611018868,1629617874993,1629618309349,1629618716300,1629623224055,1629624014717,1629624399576
22,1629610195783,1629610617665,1629611019583,1629617877123,1629618310120,1629618716980,1629623224905,1629624016352,1629624400448
23,1629610199608,1629610621615,1629611023185,1629617880840,1629618314095,1629618723101,1629623228720,1629624020494,1629624404442
24,1629610220562,1629610639263,1629611038401,1629617900648,1629618323642,1629618744539,1629623248875,1629624038509,1629624429259
25,1629610224169,1629610644815,1629611042522,1629617905030,1629618327820,1629618748331,1629623259335,1629624043940,1629624437737
26,없음,없음,없음,없음,없음,없음,없음,없음,없음
