,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1629609066718,1629609519990,1629609913849,1629616421796,1629617104073,1629617561935,1629622536511,1629623278371,1629623807761
2,1629609063090,1629609516409,1629609914908,1629616423031,1629617105074,1629617562726,1629622537766,1629623279497,1629623808814
3,1629609066056,1629609518784,1629609916840,1629616429114,1629617107750,1629617565228,1629622541008,1629623282180,1629623811693
4,1629609067642,1629609519481,1629609917586,1629616429773,1629617108367,1629617565895,1629622541610,1629623282912,1629623812305
5,1629609075325,1629609527452,1629609921529,1629616433726,1629617111919,1629617569801,1629622545271,1629623288612,1629623815040
6,1629609077759,1629609528695,1629609923634,1629616435524,1629617118923,1629617571300,1629622549296,1629623289482,1629623817407
7,1629609074909,1629609525969,1629609925727,1629616437797,1629617120933,1629617573327,1629622551377,1629623291818,1629623819010
8,1629609093940,1629609545374,1629609942355,1629616454893,1629617137374,1629617589913,1629622570033,1629623310061,1629623838161
9,1629609102924,1629609549979,1629609947407,1629616459296,1629617143009,1629617594348,1629622583807,1629623315214,1629623844277
10,1629609123519,1629609567948,1629609963819,1629616476511,1629617158457,1629617608395,1629622606915,1629623335134,1629623863778
11,1629609123628,1629609568043,1629609963890,1629616476604,1629617158571,1629617608495,1629622607016,1629623335246,1629623863872
12,1629609128639,1629609572971,1629609970070,1629616481935,1629617164105,1629617614058,1629622610577,1629623339636,1629623868759
13,1629609159378,1629609602878,1629609990435,1629616506997,1629617189645,1629617635349,1629622641352,1629623367151,1629623898496
14,1629609156259,1629609604865,1629609992531,1629616508380,1629617191224,1629617637006,1629622643204,1629623368669,1629623900845
15,1629522483782,1629523126634,1629524590828,1629529033411,1629529555428,1629530091648,1629533511941,1629534372089,1629534887067
16,1629522484931,1629523127782,1629524592125,1629529034696,1629529556553,1629530093286,1629533512765,1629534373133,1629534888133
17,1629522488676,1629523132248,1629524594925,1629529038003,1629529559077,1629530096210,1629533514820,1629534375897,1629534890569
18,1629522489649,1629523133525,1629524595901,1629529039225,1629529559958,1629530097414,1629533515560,1629534376998,1629534891502
