,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1629608728143,1629609300715,1629609692941,1629616175105,1629616685650,1629617347661,1629622325420,1629623069770,1629623534362
2,1629608729268,1629609297122,1629609694190,1629616176141,1629616686730,1629617348991,1629622326639,1629623071284,1629623535851
3,1629608734898,1629609306878,1629609698910,1629616182678,1629616691523,1629617359562,1629622331121,1629623077028,1629623541678
4,1629608735394,1629609307337,1629609699411,1629616183177,1629616691991,1629617360013,1629622331579,1629623077492,1629623542117
5,1629608737680,1629609312872,1629609702769,1629616186117,1629616694439,1629617361878,1629622333504,1629623079818,1629623547756
6,1629608739257,1629609314330,1629609704448,1629616189967,1629616695207,1629617363423,1629622334688,1629623081413,1629623549854
7,1629608740817,1629609310987,1629609706631,1629616192073,1629616696551,1629617364557,1629622337282,1629623082758,1629623551436
8,1629522266772,1629522892533,1629524376103,1629528737179,1629529341912,1629529895320,1629533276394,1629534158089,1629534668156
9,1629522268486,1629522894071,1629524377456,1629528738428,1629529343043,1629529896297,1629533277450,1629534158934,1629534669014
10,1629522272729,1629522896874,1629524380630,1629528740567,1629529345025,1629529898573,1629533281119,1629534160417,1629534672103
11,1629522273231,1629522897551,1629524381251,1629528741058,1629529345529,1629529899035,1629533281640,1629534160987,1629534672734
12,1629522279291,1629522901428,1629524385028,1629528745149,1629529350439,1629529902573,1629533284639,1629534164836,1629534675759
13,1629522281257,1629522903214,1629524386476,1629528747198,1629529354027,1629529904150,1629533286169,1629534167321,1629534677510
14,1629522284980,1629522906132,1629524389261,1629528750609,1629529357131,1629529906247,1629533288885,1629534170785,1629534680057
15,1629610116737,1629610547903,1629610947724,1629617777915,1629618221532,1629618629036,1629623128815,1629623918712,1629624294644
16,1629610117530,1629610549178,1629610949260,1629617780269,1629618223580,1629618630491,1629623130623,1629623921136,1629624296780
17,1629610120205,1629610551019,1629610950905,1629617784785,1629618225676,1629618632322,1629623132408,1629623923591,1629624298791
18,1629610120716,1629610551539,1629610951389,1629617785306,1629618226253,1629618632787,1629623132908,1629623924087,1629624299372
19,1629610122623,1629610554193,1629610953180,1629617787121,1629618227923,1629618634813,1629623135231,1629623926076,1629624301899
20,1629610124067,1629610555329,1629610954158,1629617788520,1629618228822,1629618636651,1629623136282,1629623927374,1629624303323
21,1629610125939,1629610557288,1629610956135,1629617790448,1629618230862,1629618638680,1629623138426,1629623929573,1629624305596
22,1629464100531,1629464464706,1629464867897,1629468964477,1629469385451,1629469964356,1629473303876,1629473821813,1629474549643
23,1629464101791,1629464465856,1629464868900,1629468965504,1629469386499,1629469965945,1629473305003,1629473823693,1629474551293
24,1629464106388,1629464470165,1629464885355,1629468971682,1629469391829,1629469971249,1629473310918,1629473831038,1629474559481
25,1629464106833,1629464470605,1629464885839,1629468972142,1629469392309,1629469971707,1629473311370,1629473831466,1629474559927
26,1629464108920,1629464473019,1629464889152,1629468974443,1629469394725,1629469974241,1629473313901,1629473834801,1629474562374
27,1629464110263,1629464475050,1629464892531,1629468975844,1629469395728,1629469975695,1629473314919,1629473836091,1629474563488
28,1629464111490,1629464477161,1629464894464,1629468977278,1629469396983,1629469977110,1629473322867,1629473838408,1629474565984
29,1629718567271,1629719186197,1629719647813,1629724192739,1629724626904,1629725081474,1629729194838,1629729666715,1629730141627
30,1629718568213,1629719187409,1629719648870,1629724194473,1629724628453,1629725082910,1629729196868,1629729668062,1629730142882
31,1629718581517,1629719192919,1629719653595,1629724197593,1629724633196,1629725091690,1629729204043,1629729674256,없음
32,1629718581986,1629719193372,1629719654037,1629724198163,1629724633658,1629725092187,1629729204509,1629729674746,1629730151843
33,1629718584406,1629719195829,1629719656094,1629724201114,1629724635708,1629725094961,1629729207064,1629729677270,1629730153425
34,1629718585629,1629719197036,1629719657371,1629724202306,1629724637004,없음,1629729208252,1629729678525,없음
35,1629718587676,1629719198807,1629719659104,1629724205226,1629724639667,1629725099006,1629729210680,1629729680531,1629730154864
36,1629635639278,1629636022204,1629636517916,1629641854904,1629642393179,1629642790440,1629645587080,1629646048906,1629646519331
37,1629635639874,1629636023613,1629636518555,1629641855863,1629642394032,1629642791652,1629645587941,1629646049885,1629646520091
38,1629635642657,1629636025925,1629636520536,1629641857590,1629642396591,1629642793364,1629645590017,1629646052211,1629646531374
39,1629635643189,1629636026412,1629636521140,1629641858117,1629642397073,1629642793923,1629645590514,1629646052736,1629646531867
40,1629635647532,1629636029734,1629636523657,1629641863775,1629642401664,1629642800272,1629645595057,1629646056700,1629646535552
41,1629635649062,1629636031748,1629636525531,1629641865524,1629642402874,1629642801980,1629645596232,1629646057835,1629646537060
42,1629635650582,1629636033111,1629636527040,1629641866954,1629642404290,1629642803482,1629645597592,1629646059318,1629646538523
43,1629717019141,1629717415077,1629717827036,1629722752206,1629723343133,1629723982138,1629729268272,1629729842388,1629730382745
44,1629717020776,1629717416809,1629717828769,1629722753839,1629723344626,1629723983783,1629729269600,1629729844166,1629730384654
45,1629717025854,1629717420089,1629717832326,1629722759283,1629723350418,1629723988922,1629729273748,1629729848628,1629730389613
46,1629717026333,1629717420636,1629717832885,1629722759814,1629723350892,1629723989418,1629729274238,1629729849088,1629730390115
