,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1629608683436,1629609247089,1629609649417,1629616130308,1629616645344,1629617308288,1629622286145,1629623021059,1629623493457
2,1629608685464,1629609249588,1629609651656,1629616132388,1629616647446,1629617310101,1629622288005,1629623022550,1629623495500
3,1629608690331,1629609262774,1629609655741,1629616140529,1629616651806,1629617314315,1629622291211,1629623030837,1629623499799
4,1629608695857,1629609264999,1629609660183,1629616146742,1629616657492,1629617319545,1629622295736,1629623035687,1629623504917
5,1629608698832,1629609268936,1629609662538,1629616149510,1629616660869,1629617322579,1629622298656,1629623038412,1629623506967
6,1629608702332,1629609274370,1629609669200,1629616152894,1629616664060,1629617326146,1629622303060,1629623042869,1629623511257
7,1629608704638,1629609275330,1629609671327,1629616154651,1629616665488,1629617327002,1629622305013,1629623043929,1629623513594
8,1629608704880,1629609275593,1629609671579,1629616155083,1629616665751,1629617327251,1629622305245,1629623044282,1629623513837
9,1629608717477,1629609288604,1629609685510,1629616168114,1629616677785,1629617339435,1629622317863,1629623057394,1629623527189
10,1629522212509,1629522831701,1629524330216,1629528693583,1629529301531,1629529853527,1629533232709,1629534116788,1629534628203
11,1629522215044,1629522833623,1629524332252,1629528695551,1629529304095,1629529855631,1629533234834,1629534118675,1629534630332
12,1629522230784,1629522841508,1629524337865,1629528701114,1629529308623,1629529863544,1629533239483,1629534125373,1629534634065
13,1629522239053,1629522851335,1629524345985,1629528708702,1629529315768,1629529870412,1629533248255,1629534133616,1629534641565
14,1629522242389,1629522855306,1629524349765,1629528711428,1629529319189,1629529872666,1629533250942,1629534136206,1629534643669
15,1629522247081,1629522859881,1629524353965,1629528716073,1629529323550,1629529877123,1629533256445,1629534140142,1629534648671
16,1629522249291,1629522862099,1629524356139,1629528718152,1629529325276,1629529878980,1629533258546,1629534141278,1629534649942
17,1629522249521,1629522862432,1629524356419,1629528718394,1629529325541,1629529879275,1629533259023,1629534141627,1629534650229
18,1629522259903,1629522872503,1629524367766,1629528728904,1629529335451,1629529889184,1629533270164,1629534150914,1629534660791
19,1629610083551,1629610513429,1629610915079,1629617745386,1629618188868,1629618595705,1629623080846,1629623872232,1629624255571
20,1629610085565,1629610515462,1629610917358,1629617747434,1629618192144,1629618597302,1629623083189,1629623875510,1629624257776
21,1629610089495,1629610519878,1629610924340,1629617753112,1629618195258,1629618600841,1629623093879,1629623881088,1629624261215
22,1629610094600,1629610524351,1629610929282,1629617757351,1629618200304,1629618605744,1629623094716,1629623881978,1629624262458
23,1629610097516,1629610527433,1629610930986,1629617759042,1629618201871,1629618607456,1629623104118,1629623898397,1629624272347
24,1629610099806,1629610531022,1629610934026,1629617762162,1629618204318,1629618611136,1629623108404,1629623901561,1629624275295
25,1629610101072,1629610532269,1629610935588,1629617763990,1629618206297,1629618612400,1629623110192,1629623903049,1629624277702
26,1629610101384,1629610532613,1629610935876,1629617764310,1629618206682,1629618612691,1629623110569,1629623903336,1629624277975
27,1629610110634,1629610541802,1629610945949,1629617774851,1629618216546,1629618622122,1629623122893,1629623915744,1629624289522
28,1629464055948,1629464429265,1629464832335,1629468926007,1629469346945,1629469928677,1629473252429,1629473735193,1629474506139
29,1629464057375,1629464430631,1629464833555,1629468927385,1629469348176,1629469930329,1629473254098,1629473736543,1629474507345
30,1629464065559,1629464436465,1629464838387,1629468932049,1629469355343,1629469935057,1629473263666,1629473741396,1629474514601
31,1629464069988,1629464440922,1629464842883,1629468938788,1629469359568,1629469939810,1629473274120,1629473747363,1629474519849
32,1629464072200,1629464443554,1629464845934,1629468941289,1629469361880,1629469942614,1629473277324,1629473751320,1629474522564
33,1629464075596,1629464447755,1629464850233,1629468944669,1629469365533,1629469946445,1629473281457,1629473754869,1629474526031
34,1629464077634,1629464449177,1629464851274,1629468945805,1629469366684,1629469947700,1629473283456,1629473756058,1629474527217
35,1629464077881,1629464449427,1629464851524,1629468946052,1629469366950,1629469947957,1629473283751,1629473756294,1629474527469
36,1629464091086,1629464461534,1629464862848,1629468960823,1629469380048,1629469960809,1629473299212,1629473770740,1629474543435
37,1629718524886,1629719142423,1629719609069,1629724145166,1629724580412,1629725035843,1629729147732,1629729624000,1629730102409
38,1629718526939,1629719144693,1629719611310,1629724146568,1629724583108,1629725037874,1629729149932,1629729626223,1629730104664
39,1629718535255,1629719151802,1629719616726,1629724152660,1629724588625,1629725043545,1629729158561,1629729631214,1629730109461
40,1629718540385,1629719152471,1629719621928,1629724158794,1629724595270,1629725049096,1629729159682,1629729636851,1629730114567
41,1629718542905,1629719162418,1629719624852,1629724162142,1629724599016,1629725052903,1629729169093,1629729639518,1629730117467
42,1629718546855,1629719165846,1629719627483,1629724166418,1629724602393,1629725056853,1629729172667,1629729646131,1629730120269
43,1629718549153,1629719168268,1629719629337,1629724171188,1629724604899,1629725058975,1629729174919,1629729647744,1629730122476
44,1629718549399,1629719168526,1629719629578,1629724171424,1629724605162,1629725059247,1629729175186,1629729648011,1629730122726
45,1629718562349,1629719181059,1629719642216,1629724186508,1629724619642,1629725074111,1629729189375,1629729661693,1629730136761
46,1629635602670,1629635986490,1629636477571,1629641817455,1629642357312,1629642741466,1629645546079,1629646003821,1629646477437
47,1629635604483,1629635989747,1629636479711,1629641819629,1629642358974,1629642744709,1629645548635,1629646006258,1629646479519
48,1629635609525,1629635993786,1629636487678,1629641823628,1629642363452,1629642750308,1629645553706,1629646016827,1629646488355
49,1629635616028,1629635999205,1629636493034,1629641828642,1629642368111,1629642754843,1629645557591,1629646017656,1629646493222
50,1629635619341,1629636001358,1629636496023,1629641830854,1629642371482,1629642757353,1629645561259,1629646028176,1629646495523
51,1629635622696,1629636004492,1629636499333,1629641835556,1629642374598,1629642761194,1629645565189,1629646032003,1629646499253
52,1629635624736,1629636006190,1629636501882,1629641839480,1629642376984,1629642772444,1629645568970,1629646034350,1629646501932
53,1629635625095,1629636006472,1629636502218,1629641839852,1629642377244,1629642772720,1629645569374,1629646034631,1629646502247
54,1629635634689,1629636017034,1629636512496,1629641850300,1629642386447,1629642786440,1629645582232,1629646044861,1629646514027
55,1629716979627,1629717373711,1629717783782,1629722711387,1629723305688,1629723942615,1629729227096,1629729805449,1629730342677
56,1629716982028,1629717376009,1629717786596,1629722714144,1629723307730,1629723944947,1629729229423,1629729807917,1629730346177
57,1629716985775,1629717380283,1629717791375,1629722718382,1629723311350,1629723948421,1629729233290,1629729811434,1629730349363
58,1629716991819,1629717385922,1629717796858,1629722724405,1629723316621,1629723955060,1629729238378,1629729817494,1629730354189
59,1629716994558,1629717388715,1629717800061,1629722727185,1629723319368,1629723957497,1629729240807,1629729819680,1629730356486
60,1629716999632,1629717393239,1629717805575,1629722730546,1629723322539,1629723961466,1629729245544,1629729823863,1629730360250
61,1629717000577,1629717394445,1629717806321,1629722731711,1629723323420,1629723962858,1629729246989,1629729824579,1629730362479
62,1629717000945,1629717394777,1629717806651,1629722732162,1629723323718,1629723963117,1629729247404,1629729824910,1629730362828
