,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1633239897281,1633241126341,1633241994554,1633246129322,1633247392421,1633248587088,1633252574764,1633253388745,1633254116044
2,1633239899437,1633241128794,1633241997435,1633246131737,1633247394904,1633248589181,1633252577718,1633253392210,1633254118452
3,1633239903245,1633241132612,1633242000973,1633246135603,1633247398797,1633248593294,1633252582137,1633253396317,1633254122621
4,1633239909011,1633241138269,1633242007082,1633246142790,1633247404761,1633248599784,1633252591143,1633253402902,1633254130840
5,1633239913057,1633241141474,1633242010213,1633246147192,1633247408916,1633248604398,1633252596102,1633253406545,1633254134896
6,1633239916675,1633241145374,1633242013793,1633246151145,1633247412786,1633248609261,1633252600356,1633253409998,1633254141071
7,1633239918639,1633241146292,1633242014801,1633246153173,1633247413893,1633248611271,1633252602865,1633253411176,1633254142993
8,1633239926846,1633241153285,1633242023482,1633246165420,1633247424468,1633248618196,1633252610132,1633253421427,1633254152883
9,1633239927805,1633241155060,1633242025328,1633246167695,1633247425428,1633248620168,1633252613201,1633253422740,1633254154091
10,1633239928063,1633241155379,1633242025565,1633246168098,1633247425690,1633248620420,1633252613685,1633253422973,1633254154322
11,1633239948803,1633241171181,1633242044643,1633246188745,1633247446753,1633248644174,1633252635892,1633253447366,1633254177948
12,1633521255349,1633522532688,1633523029720,1633528385208,1633529268498,1633529831563,1633533162423,1633533763478,1633534301027
13,1633521258076,1633522534844,1633523032020,1633528387562,1633529272602,1633529834251,1633533165606,1633533765572,1633534303897
14,1633521261861,1633522538352,1633523035554,1633528391508,1633529276428,1633529837937,1633533169226,1633533769332,1633534307575
15,1633521269292,1633522547374,1633523044339,1633528397867,1633529283679,1633529846288,1633533177054,1633533777208,1633534314721
16,1633521272696,1633522549905,1633523048688,1633528401604,1633529287939,1633529850138,1633533181457,1633533781072,1633534319711
17,1633521276546,1633522553058,1633523052042,1633528405342,1633529291869,1633529853642,1633533185063,1633533784612,1633534323444
18,1633521277506,1633522553975,1633523053959,1633528407515,1633529293956,1633529856065,1633533187256,1633533786808,1633534325403
19,1633521290218,1633522558548,1633523058896,1633528425478,1633529307681,1633529863883,1633533193459,1633533795854,1633534335716
20,1633521291256,1633522559571,1633523059795,1633528426526,1633529308766,1633529865192,1633533196480,1633533797526,1633534337326
21,1633521291500,1633522559863,1633523060044,1633528426918,1633529309023,1633529865475,1633533196843,1633533797792,1633534337620
22,1633521310078,1633522579124,1633523078448,1633528444642,1633529329255,1633529884958,1633533220227,1633533820126,1633534356621
23,1633697215327,1633698213347,1633699001448,1633704639377,1633705426122,1633706684767,1633710136064,1633711379258,1633712727092
24,1633697217357,1633698215164,1633699003422,1633704642316,1633705427777,1633706687298,1633710138117,1633711381391,1633712729795
25,1633697220452,1633698218739,1633699006502,1633704645519,1633705431182,1633706690295,1633710141994,1633711384548,1633712736278
26,1633697233063,1633698227568,1633699014622,1633704659915,1633705441274,1633706698923,1633710154920,1633711398030,1633712755818
27,1633697240768,1633698230579,1633699018101,1633704664976,1633705445170,1633706702688,1633710161033,1633711403568,1633712760796
28,1633697246221,1633698234721,1633699024191,1633704670735,1633705449071,1633706707091,1633710206998,1633711407607,1633712765375
29,1633697248064,1633698237298,1633699025853,1633704672604,1633705450968,1633706709851,1633710208635,1633711409405,1633712767339
30,1633697273684,1633698243399,1633699035948,1633704685805,1633705475200,1633706727539,1633710217252,1633711419740,1633712785277
31,1633697275588,1633698247524,1633699037205,1633704687557,1633705476274,1633706729319,1633710219796,1633711421675,1633712787028
32,1633697275828,1633698247755,1633699037440,1633704687990,1633705476545,1633706729632,1633710220051,1633711421945,1633712787334
33,1633697296092,1633698269494,1633699053917,1633704708463,1633705503377,1633706754773,1633710240685,1633711445419,1633712814675
34,1633670741421,1633671394703,1633672005636,1633675863536,1633677383968,1633677919217,1633681288171,1633682356436,1633682849890
35,1633670743103,1633671396294,1633672007445,1633675865299,1633677386291,1633677921447,1633681290027,1633682358666,1633682851503
36,1633670747179,1633671400255,1633672011668,1633675869153,1633677391015,1633677924818,1633681293391,1633682361853,1633682854316
37,1633670753641,1633671407235,1633672017701,1633675874786,1633677397105,1633677929960,1633681299096,1633682366766,1633682860177
38,1633670756861,1633671411277,1633672020509,1633675878065,1633677400553,1633677933645,1633681302573,1633682370424,1633682864581
39,1633670760533,1633671415006,1633672024155,1633675881111,1633677403820,1633677938553,1633681305144,1633682374889,1633682867630
40,1633670761618,1633671417080,1633672027241,1633675881990,1633677404789,1633677940448,1633681305820,1633682375855,1633682868670
41,1633670767910,1633671429270,1633672034474,1633675887881,1633677411648,1633677948458,1633681324161,1633682381434,1633682876475
42,1633670768859,1633671430308,1633672035494,1633675888837,1633677413545,1633677949276,1633681324936,1633682382514,1633682877206
43,1633670769090,1633671430546,1633672035775,1633675889329,1633677413845,1633677949527,1633681325274,1633682382767,1633682877473
44,1633670786229,1633671448031,1633672053779,1633675908362,1633677433879,1633677967739,1633681343825,1633682403076,1633682899470
45,1635653847031,1635654332660,1635655003428,1635663065566,1635663756207,1635664301668,1635668113416,1635668743214,1635671069379
46,1635653849781,1635654335469,1635655006165,1635663068221,1635663758579,1635664305450,1635668117025,1635668746333,1635671074685
47,1635653853927,1635654344550,1635655011179,1635663073059,1635663762170,1635664309519,1635668122364,1635668751365,1635671089831
48,1635653861220,1635654351357,1635655016872,1635663080331,1635663767759,1635664315751,1635668128481,1635668761017,1635671097748
49,1635653866892,1635654358444,1635655023044,1635663088903,1635663781196,1635664323535,1635668136544,1635668769088,1635671102870
50,1635653871960,1635654363732,1635655027210,1635663101099,1635663785742,1635664327472,1635668141887,1635668777547,1635671107521
51,1635653874187,1635654366501,1635655029671,1635663103266,1635663788048,1635664329809,1635668143015,1635668780382,1635671109522
52,1635653879332,1635654372954,1635655038934,1635663109166,1635663793713,1635664335656,1635668152847,1635668787082,1635671115213
53,1635653880125,1635654373725,1635655039672,1635663110022,1635663794435,1635664336383,1635668153827,1635668790674,1635671116032
54,1635653880435,1635654374047,1635655039941,1635663110440,1635663794702,1635664336630,1635668154215,1635668791043,1635671116318
55,1635653906999,1635654395502,1635655064608,1635663142409,1635663821771,1635664360682,1635668190870,1635668821809,1635671145410
56,1635942473365,1635942960315,1635943467742,1635946565185,1635947102544,1635947596704,1635952009512,1635953064671,1635953645355
57,1635942474663,1635942961600,1635943469143,1635946567184,1635947104049,1635947598399,1635952010908,1635953066321,1635953646998
58,1635942478556,1635942965029,1635943473191,1635946570841,1635947109489,1635947601994,1635952015949,1635953070641,1635953652347
59,1635942483537,1635942970562,1635943478499,1635946576326,1635947115354,1635947606932,1635952023040,1635953076951,1635953659889
60,1635942487151,1635942974245,1635943481900,1635946579668,1635947118544,1635947610835,1635952026422,1635953080456,1635953662770
61,1635942490009,1635942976893,1635943484855,1635946582802,1635947121196,1635947613416,1635952029539,1635953084932,1635953665885
62,1635942491036,1635942977778,1635943485999,1635946584849,1635947122067,1635947614138,1635952030531,1635953088024,1635953666843
63,1635942499347,1635942988019,1635943495021,1635946592046,1635947129739,1635947623716,1635952037260,1635953093167,1635953673943
64,1635942504242,1635942989307,1635943496212,1635946593202,1635947130791,1635947624629,1635952038503,1635953094484,1635953675073
65,1635942504469,1635942989534,1635943496444,1635946593664,1635947131043,1635947624864,1635952038945,1635953094788,1635953675349
66,1635942522493,1635943008701,1635943517387,1635946608415,1635947150730,1635947642492,1635952059493,1635953115143,1635953694558
