,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1629608749050,1629609334045,1629609718125,1629616200704,1629616716172,1629617372514,1629622344642,1629623093402,1629623560201
2,1629608750134,1629609330265,1629609719596,1629616202175,1629616717176,1629617374130,1629622346229,1629623094888,1629623561672
3,1629608782784,1629609367554,1629609754940,1629616237398,1629616758658,1629617403953,1629622379185,1629623126104,1629623593667
4,1629608785069,1629609364597,1629609756465,1629616238541,1629616760076,1629617405306,1629622381788,1629623128282,1629623595441
5,1629522291398,1629522913240,1629524396576,1629528756709,1629529365711,1629529913815,1629533296904,1629534174995,1629534686919
6,1629522293113,1629522914245,1629524398592,1629528758041,1629529366594,1629529914855,1629533297825,1629534176135,1629534688181
7,1629522337136,1629522952829,1629524435920,1629528795241,1629529405120,1629529950081,1629533350378,1629534213676,1629534724822
8,1629522340745,1629522955984,1629524439184,1629528798370,1629529407967,1629529952309,1629533353836,1629534217096,1629534727518
9,1629610130951,1629610561074,1629610960232,1629617796704,1629618237520,1629618644455,1629623145670,1629623935661,1629624310471
10,1629610132690,1629610562622,1629610961741,1629617798313,1629618239079,1629618646264,1629623147859,1629623937760,1629624312200
11,1629610158642,1629610585526,1629610988602,1629617830679,1629618267451,1629618677694,1629623187091,1629623967805,1629624356653
12,1629610160726,1629610587956,1629610990552,1629617832714,1629618269561,1629618679550,1629623189104,1629623970212,1629624358917
13,1629464118092,1629464481538,1629464900087,1629468986125,1629469402513,1629469982479,1629473327667,1629473868751,1629474549643
14,1629464119492,1629464482771,1629464901627,1629468987292,1629469403678,1629469983815,1629473328680,1629473869436,1629474551293
15,1629464153219,1629464524378,1629464938864,1629469018750,1629469441182,1629470026610,1629473379202,1629473916758,1629474622380
16,1629464154585,1629464526613,1629464940636,1629469021307,1629469442716,1629470029909,1629473381286,1629473918728,1629474625261
17,1629718592830,1629719204471,1629719668248,1629724212073,1629724676975,1629725105089,1629729216503,1629729689282,1629730161167
18,1629718594586,1629719206220,1629719669715,1629724214128,1629724679447,1629725106816,1629729218144,1629729691094,1629730163093
19,1629718628402,1629719245605,1629719703928,1629724257297,1629724718183,1629725144856,1629729257986,1629729724751,1629730197126
20,1629718630267,1629719247496,1629719707339,1629724260084,1629724720874,1629725147372,1629729265467,1629729726962,1629730199324
21,1629635656850,1629636039823,1629636533135,1629641873176,1629642409587,1629642809131,1629645603627,1629646065637,1629646544479
22,1629635657971,1629636040921,1629636533914,1629641874090,1629642410999,1629642810018,1629645604562,1629646066560,1629646545322
23,1629635700760,1629636083142,1629636574154,1629641908660,1629642460257,1629642857412,1629645647015,1629646114315,1629646585202
24,1629635702170,1629636084646,1629636575556,1629641910436,1629642462120,1629642858898,1629645648487,1629646116133,1629646586567
25,1629717042635,1629717432873,1629717848729,1629722771267,1629723362971,1629724003549,1629729290054,1629729861277,1629730411182
26,1629717044297,1629717434395,1629717850128,1629722772912,1629723364833,1629724004934,1629729292333,1629729863452,1629730412383
27,1629717080840,1629717470360,1629717879278,1629722802531,1629723404869,1629724034014,1629729335251,1629729904445,1629730443557
28,1629717083621,1629717474118,1629717880658,1629722805065,1629723407904,1629724037834,1629729338033,1629729907270,1629730446064
29,1629803337428,1629803904541,1629804398385,1629808838965,1629809295508,1629809972340,1629813874354,1629814418791,1629814935913
30,1629803339260,1629803906094,1629804399971,1629808839733,1629809297540,1629809973615,1629813875679,1629814419562,1629814937647
31,1629803375291,1629803963797,1629804437006,1629808887975,1629809332004,1629810003976,1629813915859,1629814470483,1629814982036
32,1629803377445,1629803966744,1629804439972,1629808890072,1629809334667,1629810007196,1629813918693,1629814473307,1629814985110
33,1629776204841,1629776713303,1629777229140,1629781572647,1629782136744,1629782585672,1629785036063,1629785511518,1629786123361
34,1629776206006,1629776714311,1629777231155,1629781573360,1629782137815,1629782586921,1629785036997,1629785512794,1629786124582
35,1629776248808,1629776754876,1629777271666,1629781606855,1629782170536,1629782625272,1629785076120,1629785556458,1629786171503
36,1629776252972,1629776756276,1629777277919,1629781608414,1629782177782,1629782627081,1629785078038,1629785558394,1629786173244
37,1629968504254,1629969346114,1629969766089,1629975650535,1629976233193,1629976667819,1629981837950,1629982273170,1629982719443
38,1629968504797,1629969346860,1629969766914,1629975652940,1629976233898,1629976668568,1629981838849,1629982273901,1629982723156
39,1629968534356,1629969379772,1629969802694,1629975690960,1629976279163,1629976715743,1629981874871,1629982306742,1629982767381
40,1629968536920,1629969385220,1629969806336,1629975693715,1629976282015,1629976718527,1629981877234,1629982311287,1629982771390
41,1629890028868,1629890823244,1629891644164,1629895484450,1629896444655,1629897698151,1629903324523,1629904428289,1629905056169
42,1629890029788,1629890824104,1629891645178,1629895485563,1629896445573,1629897699296,1629903325231,1629904429612,1629905056918
43,1629890069514,1629890865415,1629891676484,1629895533918,1629896478141,1629897738075,1629903363055,1629904468759,1629905104884
44,1629890074422,1629890869897,1629891680732,1629895538488,1629896481186,1629897740247,1629903366291,1629904471575,1629905107478
45,1629977701436,1629978312408,1629978679560,1629982697639,1629983129629,1629984359764,1629988044849,1629988483751,1629989428561
46,1629977702338,1629978313943,1629978680854,1629982700083,1629983131747,1629984361832,1629988047212,1629988485251,1629989429407
47,1629977732949,1629978341170,1629978706096,1629982731480,1629983159017,1629984395432,1629988078946,1629988529903,1629989458623
48,1629977734507,1629978343358,1629978707247,1629982732767,1629983160613,1629984396601,1629988080274,1629988531685,1629989460416
49,1629953796135,1629954418129,1629954896557,1629959669119,1629960894834,1629961438122,1629964895553,1629965552478,1629965925744
50,1629953796982,1629954419081,1629954897492,1629959669785,1629960895620,1629961438959,1629964896779,1629965553376,1629965926889
51,1629953822795,1629954444540,1629954923899,1629959694674,1629960920213,1629961464265,1629964931250,1629965575682,1629965947570
