,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1629609002444,1629609462050,1629609854562,1629616337337,1629617044193,1629617505409,1629622463307,1629623222646,1629623678148
2,1629608998538,1629609458292,1629609855550,1629616338272,1629617045630,1629617506533,1629622468131,1629623223625,1629623679038
3,1629609008644,1629609462891,1629609860440,1629616345561,1629617050862,1629617511168,1629622476093,1629623229514,1629623683505
4,1629609009506,1629609464311,1629609861416,1629616346406,1629617051956,1629617512282,1629622477075,1629623230168,1629623684987
5,1629609035703,1629609490744,1629609891498,1629616371912,1629617078549,1629617536926,1629622511939,1629623255045,1629623717100
6,1629609039248,1629609493219,1629609894196,1629616374650,1629617081389,1629617539936,1629622514693,1629623257831,1629623719505
7,1629609049567,1629609504164,1629609898571,1629616398758,1629617086814,1629617546596,1629622518762,1629623264209,1629623723282
8,1629609047375,1629609501846,1629609900668,1629616403661,1629617090527,1629617548517,1629622521340,1629623266493,1629623725871
9,1629609049964,1629609504742,1629609903218,1629616406463,1629617093346,1629617551138,1629622525557,1629623269335,1629623728323
10,1629522590953,1629523061394,1629524529450,1629528972758,1629529496092,1629530035746,1629533452131,1629534307897,1629534820782
11,1629522592096,1629523063039,1629524530690,1629528973651,1629529497296,1629530036869,1629533453256,1629534309325,1629534822174
12,1629522600234,1629523068571,1629524538094,1629528979634,1629529502827,1629530042395,1629533459459,1629534314441,1629534829304
13,1629522601335,1629523069626,1629524539155,1629528980892,1629529503909,1629530043410,1629533460701,1629534315383,1629534830361
14,1629522628304,1629523100407,1629524567862,1629529011393,1629529533457,1629530069956,1629533485895,1629534349278,1629534865077
15,1629522630914,1629523102790,1629524570030,1629529013637,1629529535804,1629530071951,1629533488321,1629534351365,1629534867808
16,1629522642606,1629523112599,1629524575405,1629529018909,1629529540420,1629530076685,1629533495847,1629534356330,1629534872831
17,1629522645999,1629523115542,1629524579334,1629529022005,1629529543993,1629530080196,1629533499282,1629534359300,1629534876089
18,1629522650967,1629523119606,1629524583598,1629529026588,1629529547334,1629530083524,1629533503437,1629534364093,1629534879357
19,1629610231163,1629610652263,1629611048661,1629617915544,1629618339894,1629618761327,1629623271090,1629624054792,1629624446252
20,1629610232746,1629610653812,1629611050284,1629617917261,1629618343104,1629618762843,1629623272908,1629624056232,1629624448310
21,1629610236879,1629610657631,1629611054895,1629617923262,1629618347701,1629618767881,1629623279627,1629624061917,1629624453635
22,1629610237646,1629610658344,1629611055776,1629617924326,1629618348543,1629618768863,1629623280481,1629624063055,1629624454514
23,1629610260124,1629610680114,1629611078126,1629617948224,1629618372932,1629618791775,1629623303912,1629624092883,1629624481736
24,1629610262295,1629610682091,1629611080369,1629617950292,1629618375185,1629618793909,1629623306018,1629624094960,1629624483706
25,1629610265504,1629610685229,1629611082962,1629617953440,1629618379536,1629618798663,1629623316250,1629624098633,1629624489723
26,1629610267192,1629610687367,1629611084370,1629617955011,1629618380754,1629618801173,1629623317826,1629624101567,1629624491104
27,1629610270010,1629610690115,1629611087203,1629617958492,1629618383711,1629618803931,1629623320478,1629624105674,1629624493537
28,1629464243719,1629464631054,1629465040669,1629469114081,1629469541135,1629470143132,1629473476439,1629474017937,1629474722082
29,1629464245086,1629464632014,1629465041726,1629469115358,1629469542238,1629470144246,1629473477890,1629474019311,1629474723133
30,1629464251420,1629464638020,1629465046970,1629469127589,1629469548038,1629470149547,1629473486565,1629474028236,1629474731810
31,1629464252459,1629464638945,1629465047839,1629469128341,1629469548864,1629470150372,1629473487341,1629474029936,1629474732981
32,1629464277931,1629464667057,1629465074597,1629469160517,1629469575439,1629470176742,1629473512974,1629474076302,1629474757760
33,1629464280016,1629464669619,1629465076430,1629469162892,1629469577770,1629470178641,1629473515168,1629474078472,1629474760126
34,1629464284399,1629464673746,1629465081209,1629469167480,1629469581935,1629470182902,1629473523536,1629474110316,1629474764846
35,1629464286554,1629464675908,1629465084901,1629469170178,1629469585838,1629470184661,1629473521679,1629474112254,1629474767595
36,1629464288903,1629464678758,1629465090753,1629469172489,1629469588347,1629470187390,1629473524916,1629474118194,1629474771477
37,1629718795352,1629719324196,1629719897905,1629724371560,1629724801532,1629725245058,1629729360972,1629729818651,1629730284510
38,1629718796677,1629719325841,1629719900340,1629724373446,1629724803578,1629725246866,1629729362309,1629729820318,1629730286361
39,1629718804630,1629719332533,1629719906830,1629724380880,1629724810920,1629725252815,1629729368477,1629729827337,1629730293285
40,1629718805568,1629719333491,1629719907711,1629724381865,1629724811858,1629725253661,1629729369887,1629729828260,1629730296273
41,1629718833584,1629719360912,1629719936087,1629724412534,1629724844739,1629725278646,1629729394907,1629729857782,1629730322582
42,1629718835555,1629719363107,1629719938296,1629724415109,1629724846967,1629725280829,1629729397156,1629729861672,1629730324780
43,1629718840254,1629719368694,1629719942905,1629724420405,1629724852324,1629725286738,1629729403046,1629729867033,1629730329410
44,1629718843036,1629719371452,1629719945884,1629724423460,1629724855408,1629725289060,1629729405106,1629729869850,1629730332120
45,1629718845994,1629719375057,1629719949181,1629724427414,1629724858788,1629725292470,1629729410003,1629729874019,1629730336099
