,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1629968576115,1629969423576,1629969840897,1629975739704,1629976331007,1629976758288,1629981921825,1629982349578,1629982809407
2,1629968577112,1629969424147,1629969841582,1629975740350,1629976332215,1629976758972,1629981923143,1629982350157,1629982811196
3,1629968580583,1629969426912,1629969844564,1629975743481,1629976336505,1629976762493,1629981926679,1629982354122,1629982814111
4,1629968581829,1629969428163,1629969845909,1629975744977,1629976337724,1629976763682,1629981927629,1629982355087,1629982815407
5,1629968599458,1629969447529,1629969867192,1629975765932,1629976358655,1629976782223,1629981947723,1629982374945,1629982839232
6,1629968600627,1629969448914,1629969868158,1629975767204,1629976359681,1629976783348,1629981949041,1629982376008,1629982840185
7,1629968610070,1629969458446,1629969876097,1629975773627,1629976368155,1629976793240,1629981956891,1629982384804,1629982851065
8,1629968612173,1629969460124,1629969878213,1629975775370,1629976372489,1629976796152,1629981959375,1629982387896,1629982854016
9,1629890150186,1629890959061,1629891722642,1629895628788,1629896641720,1629897814217,1629903530563,1629904562167,1629905186390
10,1629890151228,1629890960643,1629891723934,1629895629804,1629896643032,1629897815121,1629903531696,1629904563026,1629905187256
11,1629890155828,1629890964668,1629891727436,1629895635537,1629896645581,1629897818317,1629903534849,1629904566877,1629905191713
12,1629890156913,1629890965797,1629891728471,1629895636822,1629896646755,1629897819370,1629903535768,1629904568248,1629905192821
13,1629890176389,1629890987356,1629891745024,1629895652402,1629896667567,1629897838922,1629903554873,1629904587168,1629905212551
14,1629890177482,1629890988467,1629891745933,1629895653554,1629896669063,1629897839778,1629903556149,1629904588174,1629905213530
15,1629890185724,1629890998113,1629891754570,1629895660307,1629896676206,1629897845286,1629903563587,1629904595032,1629905222194
16,1629890188828,1629891001311,1629891756517,1629895662390,1629896678725,1629897848046,1629903565661,1629904596728,1629905224069
17,1629977782055,1629978387722,1629978746839,1629982773800,1629983206516,1629984443187,1629988121654,1629988571819,1629989500965
18,1629977783455,1629978388714,1629978748096,1629982775162,1629983207937,1629984444948,1629988123382,1629988573180,1629989502274
19,1629977786129,1629978390182,1629978751150,1629982777981,1629983210942,1629984447306,1629988125510,1629988575623,1629989504842
20,1629977787086,1629978391021,1629978752066,1629982778890,1629983213606,1629984448170,1629988127410,1629988576453,1629989505550
21,1629977804635,1629978408463,1629978769868,1629982795700,1629983229999,1629984470279,1629988144033,1629988596158,1629989525158
22,1629977805485,1629978409301,1629978770680,1629982796431,1629983230895,1629984471280,1629988145456,1629988596924,1629989526082
23,1629977812749,1629978416171,1629978776898,1629982801827,1629983237083,1629984477308,1629988152873,1629988603260,1629989531871
24,1629977814028,1629978417351,1629978778306,1629982803739,1629983238055,1629984479113,1629988154180,1629988604443,1629989532772
25,1629953870623,1629954482287,1629954963610,1629959820578,1629960966002,1629961504940,1629964968965,1629965616554,1629965987721
26,1629953871416,1629954482905,1629954964311,1629959821228,1629960966755,1629961505536,1629964969625,1629965617686,1629965988406
27,1629953877029,1629954486186,1629954967809,1629959824580,1629960970591,1629961508406,1629964972994,1629965620563,1629965991311
28,1629953877922,1629954487266,1629954968591,1629959825768,1629960971388,1629961509337,1629964974118,1629965621554,1629965992210
29,1629953899743,1629954506031,1629954984521,1629959840458,1629960990340,1629961528717,1629965008413,1629965638347,1629966015748
30,1629953901156,1629954507195,1629954985443,1629959842000,1629960991342,1629961529841,1629965009340,1629965639441,1629966016978
31,1629953910833,1629954513099,1629954993061,1629959851203,1629960997852,1629961536856,1629965014270,1629965645520,1629966023223
32,1629953912857,1629954514638,1629954994819,1629959852941,1629961000212,1629961538651,1629965017324,1629965647928,1629966025582
33,1630036230616,1630036883247,1630037262227,1630039735810,1630040124960,1630040506526,1630043170953,1630043672670,1630044144072
34,1630036231563,1630036884037,1630037263097,1630039736790,1630040125990,1630040507861,1630043172043,1630043673646,1630044145633
35,1630036233925,1630036887237,1630037267051,1630039740026,1630040130160,1630040511572,1630043175172,1630043677436,1630044150012
36,1630036235383,1630036888104,1630037268150,1630039741318,1630040131026,1630040512607,1630043176355,1630043678516,1630044151096
37,1630036249447,1630036904593,1630037284007,1630039758167,1630040144099,1630040531267,1630043192939,1630043699199,1630044174575
38,1630036250491,1630036905478,1630037285103,1630039759376,1630040145408,1630040532252,1630043193990,1630043700407,1630044175463
39,1630036256758,1630036911347,1630037290436,1630039765947,1630040151650,1630040537673,1630043200713,1630043706360,1630044181014
40,1630036258666,1630036913246,1630037292281,1630039768489,1630040153776,1630040540232,1630043203499,1630043708989,1630044183228
41,1629947852785,1629948573952,1629948917739,1629953626056,1629953989167,1629954372924,1629957534808,1629957964898,1629958512797
42,1629947854066,1629948574629,1629948918720,1629953627475,1629953991849,1629954374381,1629957535985,1629957965759,1629958513889
43,1629947857108,1629948576662,1629948921193,1629953631288,1629953996082,1629954377910,1629957538562,1629957969988,1629958517150
44,1629947857885,1629948577437,1629948921899,1629953632191,1629953996897,1629954378794,1629957539237,1629957970814,1629958517996
45,1629947871104,1629948593246,1629948937640,1629953648809,1629954021261,1629954394297,1629957559766,1629957991539,1629958546393
46,1629947871880,1629948594127,1629948938457,1629953649667,1629954022166,1629954395046,1629957560523,1629957992284,1629958547147
47,1629947878178,1629948599789,1629948943716,1629953657449,1629954029025,1629954401324,1629957565652,1629957999742,1629958555082
48,1629947879872,1629948601567,1629948945864,1629953660338,1629954033822,1629954404752,1629957567968,1629958003230,1629958558336
49,1630144485849,1630144872247,1630145233108,1630149413936,1630149862146,1630150376660,1630155604274,1630156054481,1630156682055
50,1630144486818,1630144872711,1630145233599,1630149414488,1630149862769,1630150377209,1630155605459,1630156055171,1630156682651
51,1630144490989,1630144875769,1630145236385,1630149417842,1630149865761,1630150380743,1630155608415,1630156058020,1630156686011
52,1630144491860,1630144876531,1630145237118,1630149418731,1630149866532,1630150381793,1630155609442,1630156058773,1630156686795
53,1630144509803,1630144892281,1630145254699,1630149434350,1630149883416,1630150398164,1630155628484,1630156079176,1630156704740
54,1630144510721,1630144893210,1630145255661,1630149435271,1630149884345,1630150399072,1630155629532,1630156080279,1630156705661
55,1630144518064,1630144898957,1630145263228,1630149441882,1630149890304,1630150405099,1630155637031,1630156087798,1630156712201
56,1630144520596,1630144901633,1630145266101,1630149444807,1630149893472,1630150408303,1630155639608,1630156091462,1630156718960
57,1630061063233,1630061424643,1630061882147,1630065979161,1630066808200,1630067422977,1630073849064,1630074316370,1630074893379
58,1630061064299,1630061425165,1630061882872,1630065979839,1630066808794,1630067423555,1630073849640,1630074316961,1630074893965
59,1630061067353,1630061427624,1630061886059,1630065983410,1630066811621,1630067426608,1630073852518,1630074320038,1630074897486
60,1630061068336,1630061428628,1630061887053,1630065984616,1630066812719,1630067427626,1630073853486,1630074321090,1630074898532
61,1630061090501,1630061453095,1630061907332,1630066004330,1630066829590,1630067445685,1630073875570,1630074343784,1630074915761
62,1630061091704,1630061454266,1630061908688,1630066005464,1630066831329,1630067446963,1630073876841,1630074344838,1630074916996
63,1630061098867,1630061463133,1630061915879,1630066011699,1630066838240,1630067453783,1630073884417,1630074352950,1630074924609
64,1630061100968,1630061465979,1630061919402,1630066014797,1630066840817,1630067456178,1630073887708,1630074355393,1630074927884
65,1630143022256,1630143480321,1630143858887,1630149019794,1630149414515,1630149893584,1630153602822,1630154165183,1630154733268
66,1630143023116,1630143481532,1630143859809,1630149021265,1630149415744,1630149895081,1630153604393,1630154166776,1630154735714
67,1630143026063,1630143486002,1630143862342,1630149024359,1630149419112,1630149897986,1630153614583,1630154172908,1630154739030
