,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
1,1629968676521,1629969527559,1629969949191,1629975945589,1629976433550,1629976872265,1629982025975,1629982455269,1629982944462
2,1629968677249,1629969528273,1629969949866,1629975946402,1629976434324,1629976873206,1629982026942,1629982455954,1629982947283
3,1629968684980,1629969536193,1629969953984,1629975952331,1629976442860,1629976878917,1629982034239,1629982462875,1629982954906
4,1629968685631,1629969536811,1629969955034,1629975953354,1629976443847,1629976880003,1629982035218,1629982464826,1629982955889
5,1629968700779,1629969559052,1629969967142,1629975967852,1629976464447,1629976899298,1629982052877,1629982489977,1629982968556
6,1629968702002,1629969564718,1629969971836,1629975975657,1629976472395,1629976904949,1629982057947,1629982496057,1629982973984
7,1629968705059,1629969567549,1629969974731,1629975977755,1629976474578,1629976907444,1629982062955,1629982498159,1629982976583
8,1629968717407,1629969578166,1629969987543,1629975989716,1629976488490,1629976918191,1629982075235,1629982509545,1629982987754
9,1629968719420,1629969581213,1629969988635,1629975992647,1629976490946,1629976921644,1629982078414,1629982512124,1629982990391
10,1629968723970,1629969583620,1629969991371,1629976014982,1629976501209,1629976926612,1629982090024,1629982532074,1629982998551
11,1629968733961,1629969593855,1629969999004,1629976024192,1629976513085,1629976935373,1629982097501,1629982544765,1629983007519
12,1629968735060,1629969594773,1629969999935,1629976025188,1629976514274,1629976936514,1629982098562,1629982546489,1629983008513
13,1629968767732,1629969628782,1629970030354,1629976059601,1629976554779,1629976984633,1629982134359,1629982591912,1629983059139
14,1629968770988,1629969631592,1629970033312,1629976063273,1629976557877,1629976991693,1629982139295,1629982594814,1629983062568
15,1629890390842,1629891178766,1629891913514,1629896063344,1629896848186,1629898009853,1629903731245,1629904768898,1629905374299
16,1629890393377,1629891180690,1629891914202,1629896064845,1629896849005,1629898011198,1629903732084,1629904769855,1629905374940
17,1629890398509,1629891186602,1629891918794,1629896071623,1629896854866,1629898016025,1629903737896,1629904779950,1629905380038
18,1629890399922,1629891188426,1629891920002,1629896074460,1629896856159,1629898017399,1629903739423,1629904783489,1629905381394
19,1629890430135,1629891209545,1629891934409,1629896093854,1629896860961,1629898033947,1629903756360,1629904800502,1629905395486
20,1629890436681,1629891217243,1629891942027,1629896102017,1629896869965,1629898040069,1629903768926,1629904806348,1629905400156
21,1629890439042,1629891219019,1629891943456,1629896103948,1629896871578,1629898041904,1629903771279,1629904808491,1629905402599
